platform,category,amount,transaction_type,location,hour,is_peak,is_urban,fee,speed_seconds,success,flagged
AzamPay/Selcom,aggregator,16000.0,Airtime/Bundles,Mbeya,5,0,0,300,22,1,0
CRDB Bank,bank,53400.0,Mobile Money Transfer,Iringa,6,0,0,1000,25,1,0
TTCL Pesa,mobile,98400.0,Merchant Payment,Dar es Salaam,18,1,1,738,31,1,0
NMB Bank,bank,11800.0,Salary Payment,Tanga,9,0,0,1000,29,0,0
NMB Bank,bank,27000.0,Bank Transfer,Kigoma,1,0,0,1000,28,1,0
TTCL Pesa,mobile,20900.0,Bill Payment,Mbeya,15,0,0,200,24,1,0
Mixx by Yas,mobile,47700.0,Salary Payment,Dodoma,17,1,0,324,22,1,0
NMB Bank,bank,18300.0,Bill Payment,Dodoma,14,0,0,1000,29,1,0
NBC Bank,bank,248600.0,Bank Transfer,Kigoma,16,0,0,1094,30,1,0
Bank Transfers (TIPS/EFT),bank,24500.0,Bank Transfer,Mbeya,16,0,0,1500,47,1,0
NMB Bank,bank,21000.0,Mobile Money Transfer,Tanga,20,1,0,1000,28,1,0
TTCL Pesa,mobile,23400.0,Airtime/Bundles,Dar es Salaam,20,1,1,200,25,1,0
Mixx by Yas,mobile,52400.0,Bill Payment,Mbeya,9,0,0,356,19,1,0
Bank Transfers (TIPS/EFT),bank,115800.0,Mobile Money Transfer,Iringa,1,0,0,1500,47,1,0
NBC Bank,bank,41200.0,Salary Payment,Arusha,8,1,1,1000,31,1,0
M-PESA,mobile,6200.0,Merchant Payment,Mbeya,14,0,0,200,15,1,0
AzamPay/Selcom,aggregator,14400.0,Bill Payment,Zanzibar,14,0,0,300,22,1,0
AzamPay/Selcom,aggregator,111400.0,Bill Payment,Morogoro,9,0,0,668,21,1,0
M-PESA,mobile,25700.0,Salary Payment,Mwanza,11,0,1,200,16,1,0
AzamPay/Selcom,aggregator,22400.0,Airtime/Bundles,Kigoma,6,0,0,300,20,1,0
M-PESA,mobile,21100.0,Bill Payment,Kigoma,5,0,0,200,17,1,0
NBC Bank,bank,15400.0,Mobile Money Transfer,Dodoma,3,0,0,1000,29,1,0
NBC Bank,bank,33600.0,Merchant Payment,Kigoma,14,0,0,1000,30,1,0
M-PESA,mobile,682700.0,Salary Payment,Kigoma,0,0,0,4506,17,1,0
NMB Bank,bank,1321900.0,Salary Payment,Arusha,7,1,1,5552,34,1,0
TTCL Pesa,mobile,4200.0,Merchant Payment,Kigoma,0,0,0,200,26,1,0
Bank Transfers (TIPS/EFT),bank,19900.0,Mobile Money Transfer,Mbeya,11,0,0,1500,47,1,0
M-PESA,mobile,105600.0,Bill Payment,Arusha,12,1,1,697,21,1,0
NBC Bank,bank,19500.0,Airtime/Bundles,Zanzibar,17,1,0,1000,28,1,0
Halo-Pesa,mobile,44400.0,Bank Transfer,Iringa,12,1,0,320,25,1,0
AzamPay/Selcom,aggregator,67700.0,Merchant Payment,Dodoma,13,1,0,406,26,1,0
NBC Bank,bank,29400.0,Merchant Payment,Dodoma,4,0,0,1000,29,1,0
M-PESA,mobile,72500.0,Bill Payment,Dar es Salaam,5,0,1,478,17,1,0
NBC Bank,bank,49400.0,Salary Payment,Dar es Salaam,12,1,1,1000,31,1,0
Airtel Money,mobile,159000.0,Mobile Money Transfer,Dar es Salaam,21,0,1,1113,20,1,0
Airtel Money,mobile,15900.0,Salary Payment,Zanzibar,13,1,0,200,27,1,0
AzamPay/Selcom,aggregator,58400.0,Airtime/Bundles,Arusha,14,0,1,350,20,1,0
Bank Transfers (TIPS/EFT),bank,5700.0,Mobile Money Transfer,Iringa,4,0,0,1500,46,1,0
AzamPay/Selcom,aggregator,8300.0,Airtime/Bundles,Mbeya,2,0,0,300,21,1,0
CRDB Bank,bank,47300.0,Mobile Money Transfer,Iringa,1,0,0,1000,26,1,0
Airtel Money,mobile,260700.0,Bank Transfer,Mwanza,10,0,1,1825,22,1,0
TTCL Pesa,mobile,63400.0,Merchant Payment,Zanzibar,20,1,0,476,31,1,1
Mixx by Yas,mobile,38000.0,Salary Payment,Zanzibar,23,0,0,258,19,1,0
TTCL Pesa,mobile,22200.0,Mobile Money Transfer,Kigoma,16,0,0,200,24,1,0
NMB Bank,bank,16400.0,Merchant Payment,Morogoro,21,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,8800.0,Bill Payment,Kigoma,7,1,0,1500,51,1,0
TTCL Pesa,mobile,84200.0,Salary Payment,Zanzibar,20,1,0,632,24,1,0
M-PESA,mobile,142600.0,Mobile Money Transfer,Zanzibar,3,0,0,941,17,1,0
NMB Bank,bank,6300.0,Airtime/Bundles,Morogoro,9,0,0,1000,28,1,0
AzamPay/Selcom,aggregator,10900.0,Salary Payment,Mwanza,10,0,1,300,22,1,0
Mixx by Yas,mobile,66200.0,Bank Transfer,Arusha,11,0,1,450,18,1,0
Halo-Pesa,mobile,15200.0,Salary Payment,Mbeya,22,0,0,200,24,1,0
Mixx by Yas,mobile,122800.0,Bank Transfer,Mbeya,0,0,0,835,20,1,0
NBC Bank,bank,4600.0,Merchant Payment,Morogoro,13,1,0,1000,32,1,0
Mixx by Yas,mobile,32500.0,Bank Transfer,Arusha,21,0,1,221,19,1,0
Halo-Pesa,mobile,1900.0,Airtime/Bundles,Mwanza,11,0,1,200,23,1,0
Mixx by Yas,mobile,927800.0,Merchant Payment,Zanzibar,21,0,0,6309,19,1,0
TTCL Pesa,mobile,69100.0,Bank Transfer,Dodoma,22,0,0,518,26,1,0
CRDB Bank,bank,25600.0,Bill Payment,Zanzibar,23,0,0,1000,25,1,0
NMB Bank,bank,28000.0,Merchant Payment,Arusha,17,1,1,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,232500.0,Airtime/Bundles,Kigoma,18,1,0,1500,48,1,0
M-PESA,mobile,2700.0,Mobile Money Transfer,Dodoma,5,0,0,200,15,1,0
Mixx by Yas,mobile,106100.0,Mobile Money Transfer,Iringa,18,1,0,721,23,1,0
TTCL Pesa,mobile,40100.0,Salary Payment,Dar es Salaam,19,1,1,301,30,1,0
Mixx by Yas,mobile,73800.0,Airtime/Bundles,Mwanza,11,0,1,502,19,1,0
NBC Bank,bank,5100.0,Bill Payment,Dar es Salaam,6,0,1,1000,29,1,0
NBC Bank,bank,4300.0,Airtime/Bundles,Mbeya,23,0,0,1000,30,1,0
TTCL Pesa,mobile,6500.0,Bill Payment,Mbeya,1,0,0,200,25,1,0
CRDB Bank,bank,5100.0,Bill Payment,Arusha,4,0,1,1000,25,1,0
NBC Bank,bank,7200.0,Salary Payment,Morogoro,19,1,0,1000,30,1,0
Bank Transfers (TIPS/EFT),bank,35100.0,Bill Payment,Tanga,6,0,0,1500,45,1,0
M-PESA,mobile,45300.0,Airtime/Bundles,Arusha,16,0,1,299,16,1,0
Airtel Money,mobile,91100.0,Bank Transfer,Dodoma,1,0,0,638,21,1,0
Bank Transfers (TIPS/EFT),bank,2400.0,Merchant Payment,Tanga,22,0,0,1500,45,1,0
Airtel Money,mobile,19800.0,Merchant Payment,Arusha,0,0,1,200,22,1,0
NBC Bank,bank,56700.0,Airtime/Bundles,Mwanza,14,0,1,1000,28,1,0
CRDB Bank,bank,16900.0,Salary Payment,Dodoma,1,0,0,1000,26,1,0
Airtel Money,mobile,17900.0,Salary Payment,Arusha,11,0,1,200,21,1,0
TTCL Pesa,mobile,1600.0,Mobile Money Transfer,Zanzibar,3,0,0,200,24,1,0
Bank Transfers (TIPS/EFT),bank,15500.0,Mobile Money Transfer,Iringa,0,0,0,1500,46,1,0
Mixx by Yas,mobile,37400.0,Bill Payment,Kigoma,12,1,0,254,24,1,0
Airtel Money,mobile,153900.0,Salary Payment,Iringa,20,1,0,1077,23,1,0
Bank Transfers (TIPS/EFT),bank,20600.0,Bank Transfer,Mbeya,14,0,0,1500,46,1,0
Halo-Pesa,mobile,69800.0,Salary Payment,Kigoma,22,0,0,503,23,1,0
TTCL Pesa,mobile,34700.0,Bank Transfer,Arusha,19,1,1,260,27,1,0
Bank Transfers (TIPS/EFT),bank,365800.0,Bank Transfer,Morogoro,17,1,0,1500,50,0,0
M-PESA,mobile,25100.0,Bank Transfer,Mwanza,20,1,1,200,15,1,0
AzamPay/Selcom,aggregator,55400.0,Airtime/Bundles,Kigoma,22,0,0,332,20,1,0
Bank Transfers (TIPS/EFT),bank,67700.0,Salary Payment,Kigoma,13,1,0,1500,45,1,0
Airtel Money,mobile,67900.0,Salary Payment,Zanzibar,17,1,0,475,25,0,0
Bank Transfers (TIPS/EFT),bank,22500.0,Salary Payment,Mwanza,8,1,1,1500,47,0,0
Bank Transfers (TIPS/EFT),bank,229400.0,Salary Payment,Kigoma,7,1,0,1500,52,1,0
NBC Bank,bank,29900.0,Salary Payment,Zanzibar,9,0,0,1000,29,1,0
TTCL Pesa,mobile,30100.0,Merchant Payment,Dar es Salaam,9,0,1,226,24,1,0
Mixx by Yas,mobile,24900.0,Salary Payment,Morogoro,8,1,0,200,20,1,0
Mixx by Yas,mobile,23500.0,Bill Payment,Zanzibar,14,0,0,200,20,1,0
CRDB Bank,bank,17000.0,Bill Payment,Morogoro,4,0,0,1000,26,1,0
M-PESA,mobile,82800.0,Bank Transfer,Tanga,10,0,0,546,15,1,0
Bank Transfers (TIPS/EFT),bank,368300.0,Bank Transfer,Dodoma,4,0,0,1500,45,1,0
CRDB Bank,bank,95000.0,Salary Payment,Mbeya,4,0,0,1000,27,1,0
TTCL Pesa,mobile,88500.0,Bill Payment,Dodoma,5,0,0,664,26,1,0
M-PESA,mobile,7900.0,Airtime/Bundles,Dar es Salaam,13,1,1,200,18,1,0
CRDB Bank,bank,33600.0,Airtime/Bundles,Tanga,16,0,0,1000,27,1,0
CRDB Bank,bank,17000.0,Salary Payment,Dodoma,3,0,0,1000,25,1,0
AzamPay/Selcom,aggregator,14600.0,Bank Transfer,Dar es Salaam,22,0,1,300,22,1,0
NMB Bank,bank,132300.0,Mobile Money Transfer,Arusha,7,1,1,1000,31,0,0
TTCL Pesa,mobile,65700.0,Mobile Money Transfer,Kigoma,5,0,0,493,24,1,0
Airtel Money,mobile,103900.0,Salary Payment,Dodoma,19,1,0,727,20,0,0
M-PESA,mobile,30300.0,Merchant Payment,Dodoma,5,0,0,200,16,1,0
Mixx by Yas,mobile,60900.0,Bill Payment,Mwanza,13,1,1,414,23,1,0
Mixx by Yas,mobile,8400.0,Merchant Payment,Dar es Salaam,7,1,1,200,22,1,0
M-PESA,mobile,19800.0,Mobile Money Transfer,Dodoma,10,0,0,200,17,1,0
Halo-Pesa,mobile,11300.0,Salary Payment,Kigoma,7,1,0,200,27,1,0
M-PESA,mobile,5100.0,Bill Payment,Dar es Salaam,5,0,1,200,17,1,0
Airtel Money,mobile,3200.0,Mobile Money Transfer,Kigoma,0,0,0,200,20,1,0
Airtel Money,mobile,8400.0,Airtime/Bundles,Mwanza,18,1,1,200,24,1,0
M-PESA,mobile,112200.0,Merchant Payment,Dar es Salaam,20,1,1,741,15,1,0
AzamPay/Selcom,aggregator,32900.0,Mobile Money Transfer,Arusha,1,0,1,300,21,1,0
Mixx by Yas,mobile,42100.0,Airtime/Bundles,Zanzibar,9,0,0,286,20,1,0
Halo-Pesa,mobile,135600.0,Bank Transfer,Zanzibar,15,0,0,976,23,1,0
TTCL Pesa,mobile,700.0,Bill Payment,Arusha,0,0,1,200,24,1,0
M-PESA,mobile,193700.0,Salary Payment,Dodoma,17,1,0,1278,16,1,0
CRDB Bank,bank,97200.0,Airtime/Bundles,Iringa,13,1,0,1000,29,1,0
M-PESA,mobile,28700.0,Merchant Payment,Zanzibar,13,1,0,200,22,1,0
Mixx by Yas,mobile,30200.0,Merchant Payment,Mbeya,2,0,0,205,18,1,0
NBC Bank,bank,230000.0,Airtime/Bundles,Dodoma,3,0,0,1012,28,1,0
NMB Bank,bank,204100.0,Merchant Payment,Dar es Salaam,13,1,1,1000,30,1,0
Mixx by Yas,mobile,29800.0,Bank Transfer,Tanga,18,1,0,203,20,1,0
Bank Transfers (TIPS/EFT),bank,47000.0,Merchant Payment,Tanga,8,1,0,1500,45,0,0
AzamPay/Selcom,aggregator,7300.0,Merchant Payment,Iringa,6,0,0,300,21,1,0
Halo-Pesa,mobile,26500.0,Bank Transfer,Tanga,0,0,0,200,23,1,0
AzamPay/Selcom,aggregator,7000.0,Bank Transfer,Dar es Salaam,19,1,1,300,20,1,0
AzamPay/Selcom,aggregator,11900.0,Bill Payment,Dar es Salaam,10,0,1,300,21,1,0
CRDB Bank,bank,35300.0,Bank Transfer,Arusha,11,0,1,1000,26,1,0
NMB Bank,bank,32600.0,Merchant Payment,Arusha,20,1,1,1000,34,1,0
M-PESA,mobile,5400.0,Salary Payment,Iringa,19,1,0,200,20,1,0
TTCL Pesa,mobile,10600.0,Salary Payment,Dodoma,22,0,0,200,25,1,0
NMB Bank,bank,140600.0,Merchant Payment,Mwanza,16,0,1,1000,27,1,0
NBC Bank,bank,10300.0,Merchant Payment,Mwanza,16,0,1,1000,29,1,0
NMB Bank,bank,16100.0,Mobile Money Transfer,Dodoma,19,1,0,1000,27,0,0
NBC Bank,bank,43300.0,Salary Payment,Kigoma,12,1,0,1000,33,1,0
AzamPay/Selcom,aggregator,48200.0,Salary Payment,Dar es Salaam,13,1,1,300,26,1,0
CRDB Bank,bank,36100.0,Merchant Payment,Dar es Salaam,5,0,1,1000,25,1,0
CRDB Bank,bank,25600.0,Salary Payment,Zanzibar,14,0,0,1000,27,1,0
AzamPay/Selcom,aggregator,116400.0,Bill Payment,Arusha,12,1,1,698,26,1,0
NBC Bank,bank,89200.0,Merchant Payment,Zanzibar,10,0,0,1000,29,1,0
Airtel Money,mobile,13300.0,Merchant Payment,Tanga,9,0,0,200,22,1,0
M-PESA,mobile,24800.0,Bill Payment,Mbeya,22,0,0,200,15,1,0
Halo-Pesa,mobile,199900.0,Mobile Money Transfer,Arusha,17,1,1,1439,24,1,0
CRDB Bank,bank,86900.0,Bank Transfer,Mwanza,5,0,1,1000,26,1,0
Bank Transfers (TIPS/EFT),bank,12500.0,Merchant Payment,Zanzibar,3,0,0,1500,46,1,0
Halo-Pesa,mobile,2400.0,Merchant Payment,Iringa,18,1,0,200,22,1,0
Bank Transfers (TIPS/EFT),bank,38700.0,Bill Payment,Mbeya,13,1,0,1500,47,1,0
TTCL Pesa,mobile,9100.0,Bill Payment,Tanga,18,1,0,200,31,1,0
NBC Bank,bank,163900.0,Mobile Money Transfer,Morogoro,22,0,0,1000,28,1,0
AzamPay/Selcom,aggregator,75300.0,Bill Payment,Tanga,12,1,0,452,24,1,0
Mixx by Yas,mobile,8500.0,Salary Payment,Iringa,13,1,0,200,21,1,0
Airtel Money,mobile,9000.0,Salary Payment,Arusha,15,0,1,200,22,1,0
Mixx by Yas,mobile,177800.0,Bank Transfer,Dodoma,17,1,0,1209,21,1,0
TTCL Pesa,mobile,138300.0,Bank Transfer,Iringa,18,1,0,1037,29,0,0
NBC Bank,bank,18300.0,Airtime/Bundles,Dodoma,11,0,0,1000,29,1,0
TTCL Pesa,mobile,6900.0,Bank Transfer,Iringa,4,0,0,200,25,1,0
Bank Transfers (TIPS/EFT),bank,120000.0,Merchant Payment,Arusha,13,1,1,1500,48,1,0
TTCL Pesa,mobile,59900.0,Airtime/Bundles,Dar es Salaam,16,0,1,449,24,1,0
NBC Bank,bank,68900.0,Bank Transfer,Zanzibar,22,0,0,1000,30,1,0
NBC Bank,bank,24400.0,Airtime/Bundles,Dar es Salaam,23,0,1,1000,29,1,0
NBC Bank,bank,63000.0,Mobile Money Transfer,Zanzibar,18,1,0,1000,30,1,0
NMB Bank,bank,31800.0,Bank Transfer,Iringa,21,0,0,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,119400.0,Airtime/Bundles,Arusha,12,1,1,1500,49,1,0
NBC Bank,bank,33200.0,Salary Payment,Dodoma,4,0,0,1000,28,1,0
NBC Bank,bank,122500.0,Bill Payment,Mbeya,18,1,0,1000,29,1,0
NMB Bank,bank,9500.0,Merchant Payment,Mwanza,23,0,1,1000,27,1,0
Bank Transfers (TIPS/EFT),bank,76300.0,Bank Transfer,Mbeya,5,0,0,1500,45,1,0
Mixx by Yas,mobile,10900.0,Merchant Payment,Mwanza,13,1,1,200,23,1,0
Mixx by Yas,mobile,295300.0,Bank Transfer,Arusha,11,0,1,2008,20,1,0
Airtel Money,mobile,210400.0,Salary Payment,Dodoma,19,1,0,1473,23,1,0
Airtel Money,mobile,16100.0,Merchant Payment,Iringa,16,0,0,200,20,0,0
TTCL Pesa,mobile,45500.0,Mobile Money Transfer,Arusha,5,0,1,341,24,1,0
Airtel Money,mobile,22700.0,Bill Payment,Arusha,11,0,1,200,21,1,0
Halo-Pesa,mobile,9500.0,Merchant Payment,Mbeya,10,0,0,200,22,0,0
TTCL Pesa,mobile,34300.0,Airtime/Bundles,Zanzibar,8,1,0,257,24,1,0
NMB Bank,bank,61100.0,Salary Payment,Mbeya,22,0,0,1000,29,1,0
CRDB Bank,bank,27700.0,Mobile Money Transfer,Dodoma,8,1,0,1000,32,0,0
NBC Bank,bank,683700.0,Bill Payment,Tanga,6,0,0,3008,30,1,0
Airtel Money,mobile,32000.0,Airtime/Bundles,Morogoro,8,1,0,224,25,1,0
NMB Bank,bank,36900.0,Bank Transfer,Kigoma,6,0,0,1000,28,1,0
Mixx by Yas,mobile,66000.0,Mobile Money Transfer,Kigoma,20,1,0,449,22,1,0
Bank Transfers (TIPS/EFT),bank,102700.0,Merchant Payment,Kigoma,19,1,0,1500,47,1,0
NMB Bank,bank,800.0,Salary Payment,Morogoro,18,1,0,1000,30,1,0
AzamPay/Selcom,aggregator,19200.0,Mobile Money Transfer,Iringa,15,0,0,300,21,1,0
TTCL Pesa,mobile,124400.0,Merchant Payment,Morogoro,19,1,0,933,24,1,0
CRDB Bank,bank,45800.0,Salary Payment,Iringa,12,1,0,1000,29,1,0
Airtel Money,mobile,103000.0,Airtime/Bundles,Tanga,5,0,0,721,20,1,0
Halo-Pesa,mobile,10700.0,Bill Payment,Morogoro,15,0,0,200,24,1,0
Halo-Pesa,mobile,57700.0,Salary Payment,Arusha,18,1,1,415,28,1,0
Bank Transfers (TIPS/EFT),bank,27000.0,Salary Payment,Kigoma,9,0,0,1500,46,1,0
Bank Transfers (TIPS/EFT),bank,61000.0,Bill Payment,Tanga,1,0,0,1500,45,1,0
NBC Bank,bank,54600.0,Airtime/Bundles,Kigoma,14,0,0,1000,28,1,0
NBC Bank,bank,53300.0,Bill Payment,Dodoma,19,1,0,1000,29,1,0
AzamPay/Selcom,aggregator,120500.0,Merchant Payment,Tanga,11,0,0,723,20,1,0
M-PESA,mobile,10700.0,Bank Transfer,Mbeya,6,0,0,200,17,1,0
M-PESA,mobile,51100.0,Airtime/Bundles,Kigoma,8,1,0,337,15,1,0
NBC Bank,bank,201800.0,Bill Payment,Dodoma,22,0,0,1000,28,1,0
M-PESA,mobile,27000.0,Mobile Money Transfer,Mwanza,14,0,1,200,15,1,0
M-PESA,mobile,49600.0,Salary Payment,Mwanza,5,0,1,327,16,1,0
AzamPay/Selcom,aggregator,40500.0,Merchant Payment,Mwanza,18,1,1,300,21,1,0
Mixx by Yas,mobile,38700.0,Salary Payment,Zanzibar,23,0,0,263,18,1,0
Halo-Pesa,mobile,41100.0,Salary Payment,Zanzibar,19,1,0,296,22,1,0
Mixx by Yas,mobile,15000.0,Salary Payment,Dar es Salaam,6,0,1,200,18,1,0
Airtel Money,mobile,11300.0,Salary Payment,Mwanza,16,0,1,200,22,1,0
AzamPay/Selcom,aggregator,187100.0,Salary Payment,Mbeya,22,0,0,1123,22,1,0
Halo-Pesa,mobile,186200.0,Mobile Money Transfer,Arusha,17,1,1,1341,28,0,0
M-PESA,mobile,258700.0,Bank Transfer,Arusha,21,0,1,1707,15,1,0
Mixx by Yas,mobile,18800.0,Bank Transfer,Mwanza,0,0,1,200,19,1,0
TTCL Pesa,mobile,7900.0,Bank Transfer,Kigoma,21,0,0,200,26,1,0
CRDB Bank,bank,148900.0,Bank Transfer,Zanzibar,15,0,0,1000,25,1,0
TTCL Pesa,mobile,11900.0,Mobile Money Transfer,Dodoma,17,1,0,200,28,1,0
TTCL Pesa,mobile,67100.0,Mobile Money Transfer,Dar es Salaam,16,0,1,503,24,1,0
NMB Bank,bank,119800.0,Airtime/Bundles,Zanzibar,11,0,0,1000,29,1,0
CRDB Bank,bank,27900.0,Mobile Money Transfer,Dodoma,3,0,0,1000,26,1,1
Halo-Pesa,mobile,23900.0,Merchant Payment,Morogoro,12,1,0,200,28,1,0
NMB Bank,bank,8100.0,Salary Payment,Zanzibar,4,0,0,1000,28,1,0
Airtel Money,mobile,41200.0,Merchant Payment,Iringa,0,0,0,288,22,1,0
M-PESA,mobile,5000.0,Merchant Payment,Dar es Salaam,0,0,1,200,15,1,0
Halo-Pesa,mobile,46500.0,Bank Transfer,Arusha,2,0,1,335,22,1,0
Airtel Money,mobile,71200.0,Mobile Money Transfer,Morogoro,6,0,0,498,20,1,0
Bank Transfers (TIPS/EFT),bank,44600.0,Bill Payment,Mbeya,17,1,0,1500,50,1,0
Halo-Pesa,mobile,12000.0,Bank Transfer,Dodoma,8,1,0,200,26,1,0
M-PESA,mobile,28400.0,Salary Payment,Arusha,17,1,1,200,17,0,0
Bank Transfers (TIPS/EFT),bank,7300.0,Merchant Payment,Mbeya,19,1,0,1500,48,1,0
Bank Transfers (TIPS/EFT),bank,110000.0,Bill Payment,Zanzibar,11,0,0,1500,46,1,0
NBC Bank,bank,184100.0,Airtime/Bundles,Arusha,21,0,1,1000,29,1,0
CRDB Bank,bank,33900.0,Bill Payment,Dodoma,2,0,0,1000,25,1,0
NMB Bank,bank,11400.0,Airtime/Bundles,Mbeya,14,0,0,1000,28,1,0
M-PESA,mobile,99800.0,Bill Payment,Dar es Salaam,8,1,1,659,20,1,0
AzamPay/Selcom,aggregator,62400.0,Merchant Payment,Dodoma,3,0,0,374,21,1,0
M-PESA,mobile,27400.0,Mobile Money Transfer,Zanzibar,22,0,0,200,15,1,0
Halo-Pesa,mobile,112300.0,Bill Payment,Tanga,12,1,0,809,26,1,0
Halo-Pesa,mobile,47700.0,Airtime/Bundles,Kigoma,3,0,0,343,23,1,0
NBC Bank,bank,73000.0,Bank Transfer,Kigoma,7,1,0,1000,33,1,0
AzamPay/Selcom,aggregator,39700.0,Airtime/Bundles,Mwanza,0,0,1,300,20,1,0
Airtel Money,mobile,20200.0,Airtime/Bundles,Iringa,11,0,0,200,21,1,0
Mixx by Yas,mobile,129600.0,Airtime/Bundles,Kigoma,7,1,0,881,18,1,0
Airtel Money,mobile,41600.0,Bank Transfer,Iringa,2,0,0,291,21,1,0
Bank Transfers (TIPS/EFT),bank,133700.0,Bank Transfer,Zanzibar,18,1,0,1500,49,0,0
CRDB Bank,bank,191000.0,Merchant Payment,Tanga,19,1,0,1000,29,1,0
Mixx by Yas,mobile,23700.0,Merchant Payment,Iringa,3,0,0,200,20,0,0
Bank Transfers (TIPS/EFT),bank,4400.0,Salary Payment,Zanzibar,9,0,0,1500,45,1,0
Mixx by Yas,mobile,168800.0,Merchant Payment,Arusha,18,1,1,1148,22,1,0
Bank Transfers (TIPS/EFT),bank,13400.0,Mobile Money Transfer,Tanga,21,0,0,1500,45,1,0
NBC Bank,bank,21500.0,Airtime/Bundles,Arusha,0,0,1,1000,29,1,0
Halo-Pesa,mobile,31500.0,Salary Payment,Iringa,22,0,0,227,24,1,0
Mixx by Yas,mobile,31400.0,Airtime/Bundles,Kigoma,0,0,0,214,19,1,0
M-PESA,mobile,9100.0,Merchant Payment,Mbeya,20,1,0,200,21,1,0
NMB Bank,bank,60200.0,Salary Payment,Dodoma,3,0,0,1000,28,1,0
Bank Transfers (TIPS/EFT),bank,44400.0,Salary Payment,Mbeya,16,0,0,1500,45,1,0
NMB Bank,bank,10100.0,Airtime/Bundles,Morogoro,4,0,0,1000,29,1,0
CRDB Bank,bank,9200.0,Bank Transfer,Dodoma,0,0,0,1000,27,1,0
NMB Bank,bank,40600.0,Airtime/Bundles,Iringa,4,0,0,1000,29,1,0
NMB Bank,bank,25400.0,Salary Payment,Mwanza,5,0,1,1000,29,1,0
M-PESA,mobile,80500.0,Bank Transfer,Iringa,10,0,0,531,16,1,0
Mixx by Yas,mobile,40400.0,Mobile Money Transfer,Dodoma,7,1,0,275,18,1,0
NBC Bank,bank,203500.0,Mobile Money Transfer,Mbeya,19,1,0,1000,29,1,0
TTCL Pesa,mobile,3900.0,Merchant Payment,Iringa,14,0,0,200,25,1,0
CRDB Bank,bank,46700.0,Merchant Payment,Tanga,17,1,0,1000,25,1,0
NBC Bank,bank,53500.0,Merchant Payment,Dodoma,0,0,0,1000,28,1,0
M-PESA,mobile,51000.0,Salary Payment,Dar es Salaam,21,0,1,337,17,1,0
AzamPay/Selcom,aggregator,42700.0,Bill Payment,Zanzibar,15,0,0,300,20,1,0
CRDB Bank,bank,11000.0,Merchant Payment,Morogoro,17,1,0,1000,29,1,0
CRDB Bank,bank,11800.0,Salary Payment,Morogoro,17,1,0,1000,29,1,0
NMB Bank,bank,9600.0,Merchant Payment,Dar es Salaam,21,0,1,1000,28,1,0
NBC Bank,bank,96100.0,Mobile Money Transfer,Tanga,5,0,0,1000,28,1,0
NBC Bank,bank,124900.0,Salary Payment,Tanga,10,0,0,1000,28,1,0
Mixx by Yas,mobile,7300.0,Mobile Money Transfer,Tanga,3,0,0,200,20,1,0
AzamPay/Selcom,aggregator,72200.0,Mobile Money Transfer,Zanzibar,5,0,0,433,20,1,0
Mixx by Yas,mobile,11900.0,Airtime/Bundles,Tanga,17,1,0,200,24,1,0
Mixx by Yas,mobile,56600.0,Mobile Money Transfer,Zanzibar,16,0,0,385,18,1,0
Mixx by Yas,mobile,33300.0,Salary Payment,Morogoro,12,1,0,226,18,1,0
NMB Bank,bank,6500.0,Airtime/Bundles,Arusha,6,0,1,1000,28,1,0
TTCL Pesa,mobile,543700.0,Salary Payment,Dar es Salaam,12,1,1,4078,27,1,0
NMB Bank,bank,17400.0,Merchant Payment,Mwanza,11,0,1,1000,29,1,0
Mixx by Yas,mobile,9800.0,Merchant Payment,Dar es Salaam,15,0,1,200,18,1,0
AzamPay/Selcom,aggregator,103300.0,Bill Payment,Mbeya,14,0,0,620,22,1,0
TTCL Pesa,mobile,584800.0,Airtime/Bundles,Arusha,10,0,1,4386,26,1,0
Halo-Pesa,mobile,33500.0,Salary Payment,Dar es Salaam,0,0,1,241,23,1,0
CRDB Bank,bank,3600.0,Salary Payment,Arusha,9,0,1,1000,26,1,0
CRDB Bank,bank,19400.0,Mobile Money Transfer,Zanzibar,19,1,0,1000,29,1,0
M-PESA,mobile,26100.0,Mobile Money Transfer,Zanzibar,21,0,0,200,17,1,0
CRDB Bank,bank,19400.0,Merchant Payment,Kigoma,23,0,0,1000,25,1,0
Halo-Pesa,mobile,35500.0,Airtime/Bundles,Mwanza,18,1,1,256,25,1,0
NBC Bank,bank,124900.0,Bill Payment,Mwanza,15,0,1,1000,29,1,0
CRDB Bank,bank,112500.0,Airtime/Bundles,Iringa,17,1,0,1000,29,1,0
Airtel Money,mobile,19600.0,Merchant Payment,Morogoro,13,1,0,200,22,1,0
Mixx by Yas,mobile,56800.0,Bank Transfer,Arusha,12,1,1,386,18,1,0
NMB Bank,bank,6200.0,Merchant Payment,Mbeya,20,1,0,1000,29,0,0
TTCL Pesa,mobile,11200.0,Bank Transfer,Mwanza,22,0,1,200,25,1,0
NBC Bank,bank,390500.0,Merchant Payment,Zanzibar,7,1,0,1718,33,1,0
NBC Bank,bank,209000.0,Merchant Payment,Kigoma,3,0,0,1000,30,1,0
NMB Bank,bank,9300.0,Merchant Payment,Arusha,2,0,1,1000,29,1,0
